state,district,mbu_eligible,bio_age_5_17,mbu_gap,mbu_compliance_ratio,risk_category
Karnataka,Bengaluru Urban,19278.0,0.0,19278.0,0.0,Red (Service Desert)
Bihar,Pashchim Champaran,15797.0,40.0,15757.0,0.25,Red (Service Desert)
Bihar,Purbi Champaran,14071.0,0.0,14071.0,0.0,Red (Service Desert)
Gujarat,Banas Kantha,12716.0,59.0,12657.0,0.46,Red (Service Desert)
West Bengal,Dinajpur Uttar,11337.0,0.0,11337.0,0.0,Red (Service Desert)
Gujarat,Dohad,12333.0,2168.0,10165.0,17.58,Red (Service Desert)
Meghalaya,East Khasi Hills,18864.0,8982.0,9882.0,47.61,Red (Service Desert)
Meghalaya,West Khasi Hills,10588.0,3326.0,7262.0,31.41,Red (Service Desert)
West Bengal,24 Paraganas North,5635.0,0.0,5635.0,0.0,Red (Service Desert)
Gujarat,Ahmadabad,6427.0,958.0,5469.0,14.91,Red (Service Desert)
West Bengal,Coochbehar,4227.0,0.0,4227.0,0.0,Red (Service Desert)
Uttar Pradesh,Siddharth Nagar,4189.0,0.0,4189.0,0.0,Red (Service Desert)
Meghalaya,West Jaintia Hills,8018.0,4302.0,3716.0,53.65,Yellow (Moderate Risk)
Meghalaya,East Garo Hills,4378.0,975.0,3403.0,22.27,Red (Service Desert)
Meghalaya,Ri Bhoi,5936.0,2847.0,3089.0,47.96,Red (Service Desert)
Meghalaya,West Garo Hills,11335.0,8275.0,3060.0,73.0,Yellow (Moderate Risk)
Madhya Pradesh,Ashoknagar,2917.0,0.0,2917.0,0.0,Red (Service Desert)
Uttar Pradesh,Shravasti,2437.0,0.0,2437.0,0.0,Red (Service Desert)
Haryana,Gurugram,2429.0,0.0,2429.0,0.0,Red (Service Desert)
Meghalaya,South Garo Hills,2995.0,584.0,2411.0,19.5,Red (Service Desert)
