state,district,age_0_5,age_5_17,age_18_greater,total_enrolments,mbu_eligible,bio_age_5_17,bio_age_17_,total_bio_updates,mbu_compliance_ratio,mbu_gap,risk_category
100000,100000,0.0,1.0,217.0,218.0,1.0,0.0,0.0,0.0,0.0,1.0,Red (Service Desert)
Andaman & Nicobar Islands,Andamans,70.0,5.0,0.0,75.0,75.0,343.0,1672.0,2015.0,100.0,0.0,Green (Compliant)
Andaman & Nicobar Islands,Nicobars,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,100.0,0.0,Green (Compliant)
Andaman & Nicobar Islands,South Andaman,38.0,0.0,0.0,38.0,38.0,61.0,306.0,367.0,100.0,0.0,Green (Compliant)
Andaman and Nicobar Islands,Nicobar,64.0,11.0,0.0,75.0,75.0,992.0,819.0,1811.0,100.0,0.0,Green (Compliant)
Andaman and Nicobar Islands,North And Middle Andaman,128.0,4.0,0.0,132.0,132.0,3780.0,2603.0,6383.0,100.0,0.0,Green (Compliant)
Andaman and Nicobar Islands,South Andaman,178.0,12.0,0.0,190.0,190.0,6629.0,3491.0,10120.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Adilabad,1137.0,281.0,1.0,1419.0,1418.0,12208.0,39830.0,52038.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Alluri Sitharama Raju,1105.0,116.0,34.0,1255.0,1221.0,8438.0,10169.0,18607.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Anakapalli,523.0,12.0,8.0,543.0,535.0,3542.0,3181.0,6723.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Anantapur,4089.0,326.0,0.0,4415.0,4415.0,35834.0,57731.0,93565.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Ananthapur,1843.0,151.0,0.0,1994.0,1994.0,64082.0,20050.0,84132.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Ananthapuramu,3018.0,159.0,10.0,3187.0,3177.0,90533.0,19069.0,109602.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Annamayya,868.0,48.0,105.0,1021.0,916.0,5790.0,3922.0,9712.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Bapatla,421.0,55.0,16.0,492.0,476.0,3899.0,2083.0,5982.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Chittoor,7493.0,659.0,43.0,8195.0,8152.0,168710.0,82695.0,251405.0,100.0,0.0,Green (Compliant)
Andhra Pradesh,Cuddapah,5519.0,413.0,2.0,5934.0,5932.0,115127.0,55669.0,170796.0,100.0,0.0,Green (Compliant)
