state,mbu_eligible,bio_updates,mbu_gap,district_count,service_desert_districts,moderate_risk_districts,problem_districts
Andaman & Nicobar Islands,114.0,405.0,0.0,3,0,0,0
Andaman and Nicobar Islands,397.0,11401.0,0.0,3,0,0,0
Arunachal Pradesh,4193.0,42894.0,0.0,25,0,0,0
Dadra and Nagar Haveli,740.0,10791.0,0.0,1,0,0,0
Daman & Diu,21.0,531.0,0.0,2,0,0,0
Daman and Diu,120.0,4215.0,0.0,2,0,0,0
Dadra & Nagar Haveli,25.0,72.0,0.0,1,0,0,0
Himachal Pradesh,17300.0,191566.0,0.0,14,0,0,0
Lakshadweep,202.0,2226.0,0.0,1,0,0,0
Ladakh,599.0,2809.0,0.0,2,0,0,0
Puducherry,1701.0,21828.0,0.0,4,0,0,0
andhra pradesh,5.0,19.0,0.0,2,0,0,0
WESTBENGAL,1.0,5.0,0.0,1,0,0,0
Tripura,11030.0,147535.0,0.0,9,0,0,0
ODISHA,1.0,9.0,0.0,1,0,0,0
Dadra and Nagar Haveli and Daman and Diu,152.0,753.0,5.0,3,0,1,1
Manipur,13193.0,166465.0,9.0,12,1,0,1
Kerala,72327.0,647939.0,104.0,15,0,1,1
West Bangal,10.0,15.0,0.0,3,1,0,1
Mizoram,5431.0,85531.0,6.0,12,0,1,1
odisha,0.0,0.0,0.0,1,1,0,1
west Bengal,0.0,1.0,0.0,1,1,0,1
West  Bengal,15.0,6.0,9.0,1,1,0,1
Uttarakhand,37359.0,424441.0,26.0,15,0,1,1
Punjab,73574.0,700157.0,670.0,28,1,0,1
Tamilnadu,0.0,1.0,0.0,1,1,0,1
The Dadra And Nagar Haveli And Daman And Diu,689.0,0.0,689.0,1,1,0,1
Chandigarh,2687.0,49171.0,0.0,3,1,0,1
Goa,2170.0,34244.0,0.0,4,1,0,1
Chhatisgarh,0.0,2.0,0.0,1,1,0,1
Delhi,91479.0,556237.0,2.0,14,1,0,1
100000,1.0,0.0,1.0,1,1,0,1
Westbengal,6.0,2.0,4.0,2,2,0,2
Jharkhand,156090.0,876613.0,1395.0,35,1,1,2
Uttaranchal,0.0,0.0,0.0,2,2,0,2
Sikkim,2101.0,11932.0,12.0,10,2,0,2
Jammu And Kashmir,913.0,0.0,913.0,2,2,0,2
WEST BENGAL,4.0,8.0,3.0,3,3,0,3
West bengal,7.0,5.0,2.0,3,2,1,3
Telangana,130423.0,946497.0,951.0,42,2,1,3
Pondicherry,1272.0,5218.0,23.0,5,3,0,3
Nagaland,14465.0,32561.0,447.0,17,1,2,3
Andhra Pradesh,126186.0,2241448.0,2783.0,47,2,1,3
Madhya Pradesh,484371.0,3200117.0,3473.0,61,3,0,3
Jammu and Kashmir,47493.0,420235.0,1.0,27,4,0,4
Haryana,97152.0,693667.0,3894.0,27,4,0,4
Odisha,118098.0,1198584.0,433.0,47,4,0,4
Tamil Nadu,219540.0,2227252.0,368.0,46,3,1,4
Karnataka,213125.0,1244999.0,21816.0,56,4,1,5
Maharashtra,360930.0,3512712.0,573.0,53,5,0,5
Chhattisgarh,101222.0,884553.0,1377.0,41,4,2,6
Assam,207320.0,596624.0,996.0,38,5,1,6
Gujarat,264213.0,1460655.0,33820.0,40,7,0,7
Jammu & Kashmir,155.0,114.0,68.0,15,5,2,7
Rajasthan,342903.0,2066747.0,553.0,46,8,1,9
Bihar,597677.0,2208141.0,30170.0,48,9,0,9
Orissa,4149.0,12796.0,81.0,38,11,0,11
Uttar Pradesh,1000727.0,6207105.0,9949.0,93,10,2,12
Meghalaya,74484.0,36531.0,37953.0,14,9,4,13
West Bengal,366787.0,1040470.0,24321.0,64,17,8,25
